movie_id,genre_name
19856,Short
19872,Animation
19872,Sci-Fi
19872,Short
19874,Animation
19874,Short
19922,Drama
19924,Comedy
20015,Animation
20015,Sci-Fi
20017,Documentary
20056,Documentary
20065,Short
20106,Action
20106,Animation
20108,Documentary
20142,Documentary
20142,Short
20147,Comedy
20147,Drama
20147,Fantasy
20147,Music
20149,Crime
20149,Romance
20156,Action
20156,Fantasy
20201,Comedy
20208,Short
20226,Thriller
20258,Adult
20281,Adventure
20281,Comedy
20281,Family
20299,Action
20299,Romance
20317,Animation
20317,Short
20365,Horror
20365,Short
20365,Thriller
20374,Animation
20374,Short
20399,Animation
20399,Short
20433,Documentary
20460,Action
20460,Adventure
20460,Animation
20460,Sci-Fi
20460,Thriller
20483,Action
20483,Animation
20492,Action
20492,Drama
20492,Thriller
20515,Action
20515,Adventure
20515,Animation
20515,War
20517,Action
20517,Adventure
20517,Animation
20517,War
20524,Action
20524,Adventure
20524,Animation
20524,War
20567,Drama
20615,Documentary
20615,Music
20619,Animation
20683,Drama
20685,Adult
20724,Drama
20724,Short
20826,Short
20844,Short
20869,Short
20903,Drama
20903,Mystery
20903,Short
20928,Documentary
20967,Documentary
20969,Short
20994,Comedy
20994,Short
21010,Short
21017,Adult
21026,Documentary
21026,Short
21028,Animation
21042,Comedy
21042,Drama
21042,Romance
21051,Musical
21051,Short
21142,Animation
21142,Short
21151,Short
21178,Family
21178,Short
21185,Adventure
21201,Comedy
21203,Comedy
21276,Short
21301,Documentary
21301,Short
21362,Drama
21387,Drama
21387,Horror
21392,Drama
21392,War
21476,Comedy
21553,Documentary
21553,Short
21562,Drama
21562,Romance
21587,Action
21619,Short
21628,Drama
21628,Fantasy
21628,Horror
21628,Mystery
21630,Drama
21630,Short
21655,Drama
21655,Mystery
21655,Thriller
21685,Action
21696,Comedy
21696,Thriller
21703,Crime
21703,Mystery
21712,Action
21719,Thriller
21735,Comedy
21735,Drama
21737,Comedy
21737,Short
21780,Drama
21862,Short
21928,Documentary
21928,Music
21928,Short
21930,Adult
21969,Adult
21987,Short
22012,Documentary
22037,Comedy
22044,Drama
22044,Romance
22062,Comedy
22094,Documentary
22189,Drama
22198,Thriller
22596,Action
22596,Sci-Fi
22596,Thriller
22614,Short
22616,Drama
22623,Animation
22632,Animation
22632,Short
22646,Short
22655,Drama
22666,Documentary
22682,Comedy
22682,Documentary
22723,Documentary
22780,Drama
22780,Short
22816,Short
22821,Drama
